Timestamp [dd.mm.yyyy,hh:mm:ss,ss]	GPS\Position\Latitude [°] : [1]	GPS\Position\Longitude [°] : [1]	GPS\Position\Distance (GPS) (obsolete) [m] : [1]	GPS\Speed Info\Speed [km/h] : [1]	GPS\Speed Info\Heading [°] : [1]	GSM NWS\Scan Cycles\Average Scan Cycle Time Total [ms] : [1]	GSM NWS\TOP N Pool 1\1. TOP N Pool 1 BCCH[1] [ChanNr] : [1]	GSM NWS\TOP N Pool 2\1. TOP N Pool 2 BCCH[2] [ChanNr] : [1]	GSM NWS\TOP N Pool 3\1. TOP N Pool 3 BCCH[3] [ChanNr] : [1]	GSM NWS\TOP N Pool 4\1. TOP N Pool 4 BCCH[4] [ChanNr] : [1]	GSM NWS\TOP N Pool 5\1. TOP N Pool 5 BCCH[5] [ChanNr] : [1]	GSM NWS\TOP N Pool 6\1. TOP N Pool 6 BCCH[6] [ChanNr] : [1]	GSM NWS\TOP N Pool 7\1. TOP N Pool 7 BCCH[7] [ChanNr] : [1]	GSM NWS\TOP N Pool 8\1. TOP N Pool 8 BCCH[8] [ChanNr] : [1]	GSM NWS\TOP N Pool 9\1. TOP N Pool 9 BCCH[9] [ChanNr] : [1]	GSM NWS\TOP N Pool 10\1. TOP N Pool 10 BCCH[10] [ChanNr] : [1]	GSM NWS\TOP N Pool 11\1. TOP N Pool 11 BCCH[11] [ChanNr] : [1]	GSM NWS\TOP N Pool 12\1. TOP N Pool 12 BCCH[12] [ChanNr] : [1]	GSM NWS\TOP N Pool 13\1. TOP N Pool 13 BCCH[13] [ChanNr] : [1]	GSM NWS\TOP N Pool 14\1. TOP N Pool 14 BCCH[14] [ChanNr] : [1]	GSM NWS\TOP N Pool 15\1. TOP N Pool 15 BCCH[15] [ChanNr] : [1]	GSM NWS\TOP N Pool 16\1. TOP N Pool 16 BCCH[16] [ChanNr] : [1]	GSM NWS\TOP N Pool 17\1. TOP N Pool 17 BCCH[17] [ChanNr] : [1]	GSM NWS\TOP N Pool 18\1. TOP N Pool 18 BCCH[18] [ChanNr] : [1]	GSM NWS\TOP N Pool 19\1. TOP N Pool 19 BCCH[19] [ChanNr] : [1]	GSM NWS\TOP N Pool 1\1. TOP N Pool 1 PSCH[1] [dBm] : [1]	GSM NWS\TOP N Pool 2\1. TOP N Pool 2 PSCH[2] [dBm] : [1]	GSM NWS\TOP N Pool 3\1. TOP N Pool 3 PSCH[3] [dBm] : [1]	GSM NWS\TOP N Pool 4\1. TOP N Pool 4 PSCH[4] [dBm] : [1]	GSM NWS\TOP N Pool 5\1. TOP N Pool 5 PSCH[5] [dBm] : [1]	GSM NWS\TOP N Pool 6\1. TOP N Pool 6 PSCH[6] [dBm] : [1]	GSM NWS\TOP N Pool 7\1. TOP N Pool 7 PSCH[7] [dBm] : [1]	GSM NWS\TOP N Pool 8\1. TOP N Pool 8 PSCH[8] [dBm] : [1]	GSM NWS\TOP N Pool 9\1. TOP N Pool 9 PSCH[9] [dBm] : [1]	GSM NWS\TOP N Pool 10\1. TOP N Pool 10 PSCH[10] [dBm] : [1]	GSM NWS\TOP N Pool 11\1. TOP N Pool 11 PSCH[11] [dBm] : [1]	GSM NWS\TOP N Pool 12\1. TOP N Pool 12 PSCH[12] [dBm] : [1]	GSM NWS\TOP N Pool 13\1. TOP N Pool 13 PSCH[13] [dBm] : [1]	GSM NWS\TOP N Pool 14\1. TOP N Pool 14 PSCH[14] [dBm] : [1]	GSM NWS\TOP N Pool 15\1. TOP N Pool 15 PSCH[15] [dBm] : [1]	GSM NWS\TOP N Pool 16\1. TOP N Pool 16 PSCH[16] [dBm] : [1]	GSM NWS\TOP N Pool 17\1. TOP N Pool 17 PSCH[17] [dBm] : [1]	GSM NWS\TOP N Pool 18\1. TOP N Pool 18 PSCH[18] [dBm] : [1]	GSM NWS\TOP N Pool 19\1. TOP N Pool 19 PSCH[19] [dBm] : [1]	GSM NWS\TOP N Pool 1\1. TOP N Pool 1 BTS Name[1] : [1]	GSM NWS\TOP N Pool 2\1. TOP N Pool 2 BTS Name[2] : [1]	GSM NWS\TOP N Pool 3\1. TOP N Pool 3 BTS Name[3] : [1]	GSM NWS\TOP N Pool 4\1. TOP N Pool 4 BTS Name[4] : [1]	GSM NWS\TOP N Pool 5\1. TOP N Pool 5 BTS Name[5] : [1]	GSM NWS\TOP N Pool 6\1. TOP N Pool 6 BTS Name[6] : [1]	GSM NWS\TOP N Pool 7\1. TOP N Pool 7 BTS Name[7] : [1]	GSM NWS\TOP N Pool 8\1. TOP N Pool 8 BTS Name[8] : [1]	GSM NWS\TOP N Pool 9\1. TOP N Pool 9 BTS Name[9] : [1]	GSM NWS\TOP N Pool 10\1. TOP N Pool 10 BTS Name[10] : [1]	GSM NWS\TOP N Pool 11\1. TOP N Pool 11 BTS Name[11] : [1]	GSM NWS\TOP N Pool 12\1. TOP N Pool 12 BTS Name[12] : [1]	GSM NWS\TOP N Pool 13\1. TOP N Pool 13 BTS Name[13] : [1]	GSM NWS\TOP N Pool 14\1. TOP N Pool 14 BTS Name[14] : [1]	GSM NWS\TOP N Pool 15\1. TOP N Pool 15 BTS Name[15] : [1]	GSM NWS\TOP N Pool 16\1. TOP N Pool 16 BTS Name[16] : [1]	GSM NWS\TOP N Pool 17\1. TOP N Pool 17 BTS Name[17] : [1]	GSM NWS\TOP N Pool 18\1. TOP N Pool 18 BTS Name[18] : [1]	GSM NWS\TOP N Pool 19\1. TOP N Pool 19 BTS Name[19] : [1]
17.01.2024,13:21:35,855	43,482332	11,87145	0,55	69,35	13,64	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-101,28	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999		-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:35,907	43,482341	11,871453	1,54	69,36	13,64	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-98,08	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999		-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:35,960	43,48235	11,871456	2,55	69,38	13,64	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-101,92	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999		-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:36,013	43,482359	11,871459	3,56	69,4	13,64	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-103,28	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999		-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:36,064	43,482367	11,871462	4,54	69,42	13,63	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-103,6	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999		-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:36,117	43,482376	11,871465	5,55	69,43	13,63	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-116	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999		-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:36,169	43,482385	11,871468	6,54	69,45	13,63	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-110,96	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999		-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:36,221	43,482393	11,871471	7,53	69,47	13,63	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-108,8	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999		-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:36,273	43,482402	11,871474	8,52	69,49	13,62	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-108,56	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999		-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:36,326	43,482411	11,871477	9,53	69,5	13,62	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-105,36	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999		-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:36,430	43,482428	11,871483	11,51	69,54	13,62	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-104,48	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999		-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:36,490	43,482438	11,871486	12,66	69,56	13,61	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-100,4	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999		-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:36,542	43,482446	11,871489	13,65	69,58	13,61	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-107,36	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
