"bad vibes forever (feat. PnB Rock & Trippie Redd)","XXXTENTACION","Bad Vibes Forever","chill vibes","Playlist","USUYG1283992","03eJ2DclFWXYU8GWgANdmZ"
"LUNEDI'","Salmo","Playlist","chill vibes","Playlist","ITB001800499","1VNARx6Sm6ZYAsDMCGiU1B"
"La città","Mostro","Sinceramente Mostro","chill vibes","Playlist","IT1O72000573","5DhDQ4uXAIwnA65vfwa523"
"Legends","Juice WRLD","Legends","chill vibes","Playlist","USUG11801263","1Knctxx9vGZxpZfF66BIEa"
"L'importante","Il Tre","L'importante","chill vibes","Playlist","ITQ001900090","6CMe1fbUExwx1iAuqMA5gF"
"Jocelyn Flores","XXXTENTACION","17","chill vibes","Playlist","USUYG1156892","7m9OqQk4RVRkw9JJdeAw96"
"Crema di buccia","chiello","Crema di buccia","chill vibes","Playlist","ITDF62077055","2X6qtRhSl4r2KPnwpct4AT"
"Chicago Freestyle (feat. Giveon)","Drake","Dark Lane Demo Tapes","chill vibes","Playlist","USUG12001407","4wVOKKEHUJxHCFFNUWDn0B"
"HONEST","Baby Keem","DIE FOR MY BITCH","chill vibes","Playlist","QM6N21900313","58k32my5lKofeZRtIvBDg9"
"Everybody Dies In Their Nightmares","XXXTENTACION","17","chill vibes","Playlist","USUYG1156894","3GVkPk8mqxz0itaAriG1L7"
"Acqua Salata","chiello","Acqua Salata","chill vibes","Playlist","TCAEF1998631","4FgLocnzkfcDbEjKU9Q2ts"
"AYAHUASCA ☰ (con COLAPESCE & CHIELLO)","MACE","OBE","chill vibes","Playlist","ITUM72001377","1g7PT9g8VkXAWkzmrUhaXu"
"NON VIVO PIÙ SULLA TERRA ༻ (con RKOMI & VENERUS)","MACE","OBE","chill vibes","Playlist","ITUM72001376","56zlz9eziIdgkV0wZa3xZr"
"Fuoriluogo (feat. Madame)","Ernia","Gemelli","chill vibes","Playlist","ITUM72000311","1LElRnF04TONfEaO4R2wqO"
"SLOW DANCING IN THE DARK","Joji","BALLADS 1","chill vibes","Playlist","ZZOPM1800452","0rKtyWc8bvkriBthvHKY8d"
"Psycho! (Remix) (feat. Trippie Redd)","MASN","Psycho! (Remix) (feat. Trippie Redd)","chill vibes","Playlist","USRC12000926","7j0He3HOaCTWLG7IRQr33p"
"Morto Mai (Piano Solo)","Lazza","Re Mida (Aurum)","chill vibes","Playlist","ITUM71900977","4vuQhmBVvyy4Zau0Ypv738"
"SOGNI MATTI (feat. Leon Faun & Drast)","Sick Luke","X2","chill vibes","Playlist","ITB262101050","0xD1pdwAdoa6SrBPoOyHDz"
"Senza Di Me (feat. Venerus & Franco126)","Gemitaiz","Senza Di Me","chill vibes","Playlist","ITDF41800044","3xGD5KhnizETt7KQwxtUAc"
"Lulu (Acoustic Version)","Nayt","Un bacio (Deluxe Edition)","chill vibes","Playlist","TCACO1644881","0XRy0dGXI46pAaa5LUA2Gw"
"Bella","Ernia","Come Uccidere Un Usignolo","chill vibes","Playlist","ITDF61777038","7CxLQIq4kIq8P8UwemcKfX"
"Guerra E Pace","PSICOLOGI","2001","chill vibes","Playlist","ITLGE1900060","2puGJHRifrmNO7gTAeWm0z"
"Polvere (feat. Capo Plaza)","Tedua","Vita Vera Mixtape","chill vibes","Playlist","IT1S12000003","0ZzXPo0gS5h718w7WErG44"
"BOHEME","Rosa Chemical","FOREVER","chill vibes","Playlist","ITDF62077074","67MLNPRbU1aAHke5rXHVtN"
"Stanza Singola (feat. Tommaso Paradiso)","Franco126","Stanza Singola","chill vibes","Playlist","ITLGE1900002","23hpOtox5sIuRqVBVVJxsO"
"Falling Down - Bonus Track","Lil Peep","Come Over When You're Sober, Pt. 2","chill vibes","Playlist","USQX91802294","4jvjzW7Hm0yK4LvvE0Paz9"
"ALTALENE (feat. Mara Sattei & Coez)","BLOODY VINYL","BV3","chill vibes","Playlist","ITB002000446","2zqxUV6h5y6Y9WhyH0FVvX"
"Star Shopping","Lil Peep","Star Shopping","chill vibes","Playlist","UKELY1800203","30bqVoKjX479ab90a8Pafp"
"Gxldchainnn","Radical","TRASHBIN, Vol. 1","chill vibes","Playlist","QZES51841180","00218i6cYENiDszmBKsYYg"
"Ew","Joji","Nectar","chill vibes","Playlist","ZZOPM2002277","3Nc86B5XmDlG1KuEeSLD8x"
"Hold Me (feat. Mishaal)","MASN","How To Kill A Rockstar","chill vibes","Playlist","USRC12002156","6qsVVFBn0CuPrEgx9u4QzK"
"worldstar money (interlude)","Joji","In Tongues","chill vibes","Playlist","USUYG1161726","435yU2MvEGfDdmbH0noWZ0"
"Dead and Cold","SadBoyProlific","Dead and Cold","chill vibes","Playlist","QZES71818655","1A43TfohQt3H6K5zg28ExD"
"Carry On","XXXTENTACION","17","chill vibes","Playlist","USUYG1156899","2yZax79pOrYuyIFVW2cZY2"
"Marvins Room","Drake","Take Care (Deluxe)","chill vibes","Playlist","USCM51100267","047fCsbO4NdmwCBn8pcUXl"
"YEAH RIGHT","Joji","BALLADS 1","chill vibes","Playlist","USUYG1194991","1VGzxJnVQND7Cg5H5wGj14"
"Nuvole","Nayt","MOOD","chill vibes","Playlist","ITHZX2000013","76wJVCNY3GJ4XWnFukaoIP"
