"m8nstar","thasup","m8nstar","le mie hit e recenti","Playlist","ITB001900255","5Aw0QmDZJZID69ZcTvEzXI"
"Che Ore Sono (feat. Venerus)","Gemitaiz","Scatola Nera","le mie hit e recenti","Playlist","ITDF41900034","3bj6F2PY4PWMNrAuywX5cR"
"LUNEDI'","Salmo","Playlist","le mie hit e recenti","Playlist","ITB001800499","1VNARx6Sm6ZYAsDMCGiU1B"
"QUELLI CHE NON PENSANO - Il cervello (feat. Coez)","Marracash","Persona","le mie hit e recenti","Playlist","ITUM71901141","6l1Jnqfu7GAOV4MDgA2bNP"
"Netflix","Lazza","Re Mida","le mie hit e recenti","Playlist","ITCVA1900005","1XiF40UZiMZstIl37DdRaC"
"The Box","Roddy Ricch","Please Excuse Me for Being Antisocial","le mie hit e recenti","Playlist","USAT21906978","0nbXyq5TXYPCO7pr3N8S4I"
"Saturno - prod. Strage","Nitro","GarbAge","le mie hit e recenti","Playlist","ITB002000130","6AOL4BUu1uololprpYnlfH"
"goosebumps","Travis Scott","Birds In The Trap Sing McKnight","le mie hit e recenti","Playlist","USSM11607555","6gBFPUFcJLzWGx4lenP6h2"
"STARGAZING","Travis Scott","ASTROWORLD","le mie hit e recenti","Playlist","USSM11806658","7wBJfHzpfI3032CSD7CE2m"
"BUTTERFLY EFFECT","Travis Scott","ASTROWORLD","le mie hit e recenti","Playlist","USSM11704799","2cYqizR4lgvp4Qu6IQ3qGN"
"Crema di buccia","chiello","Crema di buccia","le mie hit e recenti","Playlist","ITDF62077055","2X6qtRhSl4r2KPnwpct4AT"
"Spigoli","Carl Brave","Spigoli","le mie hit e recenti","Playlist","ITUM72000490","1XQvMjA9IiIx1lAiTHSxQi"
"Acqua Salata","chiello","Acqua Salata","le mie hit e recenti","Playlist","TCAEF1998631","4FgLocnzkfcDbEjKU9Q2ts"
"UNA FAVOLA","Zoda","UNA FAVOLA","le mie hit e recenti","Playlist","TCAET2092470","0RHfoNu48a4zLXW9AS609n"
"Cambiare Adesso","Dark Polo Gang","Trap Lovers","le mie hit e recenti","Playlist","ITUM71800874","2xjxaKiYssIdDU6DCPpZPt"
"ROSE & ROVI","Rosa Chemical","FOREVER","le mie hit e recenti","Playlist","ITDF62077077","45CUOI8AfmABHQHyc6Lptk"
"Outro (Niente di Speciale) - prod. Strage, Q3000","Dani Faiv","Scusate se esistiamo","le mie hit e recenti","Playlist","ITB002000252","2jOXgMw5Ew8PFWy1abGNOU"
"Weekend a Miami (feat. Shiva) - prod. Strage","Dani Faiv","Scusate se esistiamo","le mie hit e recenti","Playlist","ITB002000245","2Cft8QMGbXrhIMUWyllZ0s"
"Fuoriluogo (feat. Madame)","Ernia","Gemelli","le mie hit e recenti","Playlist","ITUM72000311","1LElRnF04TONfEaO4R2wqO"
"Ferma A Guardare","Ernia","Gemelli","le mie hit e recenti","Playlist","ITUM72000306","2UJFzqzkU6eByT6tdi2iLf"
"J","Lazza","J","le mie hit e recenti","Playlist","ITUM72000736","72rWtqrT17EJ56gTmEMmoA"
"LIMBO (feat. Gemitaiz)","Lazza","J","le mie hit e recenti","Playlist","ITUM72000742","36puK87J6Wz5y51S2CjMc3"
